latitud,cat_nom_catala,codi,espai_verd,adreca,catalogacio,nom_districte,tipus_element,cat_nom_castella,nom_barri,geom,cat_nom_cientific,x_etrs89,data_plantacio,codi_barri,longitud,codi_districte,tipus_reg,categoria_arbrat,cat_especie_id,tipus_aigua,y_etrs89,_id
41.4365081,Palmera datilera; palmera de dàtils,0000377AR,"Central de Nou Barris, Parc","Pl Major de Nou Barris, 0",,NOU BARRIS,PALMERA ZONA,Palmera datilera,LA GUINEUETA,POINT (430700.646948769 4587547.43192232),Phoenix dactylifera,430700.647,,48,2.1705107,8,GOTEIG,TERCERA,48,,4587547.432,1
41.4365615,palmera de la reina,0000378AR,"Central de Nou Barris, Parc","Pl Major de Nou Barris, 0",,NOU BARRIS,PALMERA ZONA,palmera pindó,LA GUINEUETA,POINT (430702.11468789 4587553.34704427),Syagrus romanzoffiana,430702.115,2026-06-10T00:00:00,48,2.1705276,8,GOTEIG,PRIMERA,485,,4587553.347,2
41.4377690,Plàtan,0000386AR,"Central de Nou Barris, Parc","C\ Doctor Letamendi, 90",,HORTA - GUINARDÓ,ARBRE ZONA,Plátano,HORTA,POINT (430035.238676006 4587693.83631125),Platanus × acerifolia,430035.239,,43,2.1625299,7,SENSE INFORMAR,SEGONA,126,,4587693.836,3
41.4377883,Plàtan,0000387AR,"Central de Nou Barris, Parc","C\ Doctor Letamendi, 90",,HORTA - GUINARDÓ,ARBRE ZONA,Plátano,HORTA,POINT (430032.831137134 4587696.00500337),Platanus × acerifolia,430032.831,,43,2.1625008,7,SENSE INFORMAR,SEGONA,126,,4587696.005,4
41.4378096,Plàtan,0000388AR,"Central de Nou Barris, Parc","C\ Doctor Letamendi, 90",,HORTA - GUINARDÓ,ARBRE ZONA,Plátano,HORTA,POINT (430030.366746935 4587698.39336605),Platanus × acerifolia,430030.367,,43,2.1624711,7,SENSE INFORMAR,TERCERA,126,,4587698.393,5
41.4352512,Pi blanc,0000389AR,"Central de Nou Barris, Parc","C\ Borgonya, 2",,NOU BARRIS,ARBRE ZONA,Pino carrasco,LA GUINEUETA,POINT (430581.229942096 4587409.02061396),Pinus halepensis,430581.230,,48,2.1690974,8,DIFUSIÓ,EXEMPLAR,99,,4587409.021,6
41.4353079,Pi blanc,0000390AR,"Central de Nou Barris, Parc","C\ Borgonya, 2",,NOU BARRIS,ARBRE ZONA,Pino carrasco,LA GUINEUETA,POINT (430582.139273451 4587415.30945203),Pinus halepensis,430582.139,,48,2.1691076,8,DIFUSIÓ,EXEMPLAR,99,,4587415.309,7
41.4353705,Pi blanc,0000391AR,"Central de Nou Barris, Parc","C\ Borgonya, 2",,NOU BARRIS,ARBRE ZONA,Pino carrasco,LA GUINEUETA,POINT (430582.624170898 4587422.26282952),Pinus halepensis,430582.624,,48,2.1691126,8,DIFUSIÓ,EXEMPLAR,99,,4587422.263,8
41.4355220,Pi pinyoner; pi pinyer,0000392AR,"Central de Nou Barris, Parc","C\ Borgonya, 6",,NOU BARRIS,ARBRE ZONA,Pino piñonero,LA GUINEUETA,POINT (430585.371358998 4587439.05652487),Pinus pinea,430585.371,,48,2.1691435,8,GOTEIG,EXEMPLAR,108,,4587439.057,9
41.4355767,Pi blanc,0000393AR,"Central de Nou Barris, Parc","C\ Borgonya, 6",,NOU BARRIS,ARBRE ZONA,Pino carrasco,LA GUINEUETA,POINT (430586.012702389 4587445.11899775),Pinus halepensis,430586.013,,48,2.1691505,8,GOTEIG,EXEMPLAR,99,,4587445.119,10
